drug1_normalized,drug2_normalized,severity,description,reference
warfarin,aspirin,major,"Increased bleeding risk",DrugBank
warfarin,paracetamol,major,"Increased bleeding risk (especially high doses)",DrugBank
warfarin,ibuprofen,major,"Significant GI bleed + anticoagulation risk",DrugBank
warfarin,clopidogrel,major,"Increased bleeding risk",Liverpool
warfarin,amoxicillin,moderate,"Potential increased INR",DrugBank
warfarin,ciprofloxacin,major,"Increased anticoagulation effect",DrugBank
warfarin,metronidazole,major,"Increased INR → bleeding risk",DrugBank
warfarin,levofloxacin,major,"Increased INR",DrugBank
warfarin,aspirin,major,"Significant increase in bleeding risk",DrugBank
warfarin,ibuprofen,major,"Increased bleeding risk (NSAID effect)",DrugBank
metformin,alcohol,major,"High risk of lactic acidosis",OpenFDA
metformin,cimetidine,moderate,"Increased metformin levels → hypoglycemia risk",DrugBank
pantoprazole,clopidogrel,moderate,"Reduced clopidogrel activation (CYP2C19 inhibition)",Liverpool
atorvastatin,grapefruit juice,moderate,"Increased statin exposure → myopathy risk",DrugBank
atorvastatin,clarithromycin,major,"Severe myopathy/rhabdomyolysis risk (CYP3A4 inhibition)",DrugBank
levothyroxine,iron supplements,major,"Reduced levothyroxine absorption",Common
levothyroxine,calcium carbonate,major,"Reduced absorption",Common
amoxicillin,probenecid,moderate,"Increased amoxicillin levels",DrugBank
ciprofloxacin,theophylline,major,"Increased theophylline toxicity",DrugBank
ciprofloxacin,tizanidine,major,"Severe hypotension/sedation",DrugBank
paracetamol,alcohol,major,"Increased hepatotoxicity",Common
paracetamol,isoniazid,major,"Increased liver damage risk",DrugBank
glimepiride,alcohol,major,"Severe hypoglycemia",Common
glimepiride,rifampicin,major,"Reduced glimepiride efficacy",DrugBank
amlodipine,simvastatin,major,"Increased simvastatin exposure → myopathy",DrugBank
losartan,spironolactone,major,"Hyperkalemia risk",DrugBank
losartan,potassium supplements,major,"Hyperkalemia",DrugBank
telmisartan,spironolactone,major,"Hyperkalemia risk",DrugBank
bisoprolol,verapamil,major,"Severe bradycardia/AV block",DrugBank
clopidogrel,omeprazole,major,"Reduced antiplatelet effect",Liverpool
clopidogrel,esomeprazole,major,"Reduced antiplatelet effect",Liverpool
azithromycin,amiodarone,major,"QT prolongation → torsades risk",DrugBank
ondansetron,amiodarone,major,"QT prolongation",DrugBank
domperidone,ketoconazole,major,"QT prolongation → torsades",DrugBank
ranitidine,procainamide,major,"Increased procainamide levels",DrugBank
rabeprazole,clopidogrel,moderate,"Reduced clopidogrel effect",Liverpool
pioglitazone,gemfibrozil,major,"Increased pioglitazone exposure → edema/heart failure risk",DrugBank
hydrochlorothiazide,lithium,major,"Increased lithium toxicity",DrugBank
warfarin,aspirin,major,"Significant increase in bleeding risk",DrugBank
warfarin,ibuprofen,major,"Increased bleeding risk (NSAID effect)",DrugBank
metformin,alcohol,major,"High risk of lactic acidosis",OpenFDA
pantoprazole,clopidogrel,moderate,"Reduced clopidogrel activation (CYP2C19 inhibition)",Liverpool
atorvastatin,clarithromycin,major,"Severe myopathy/rhabdomyolysis risk",DrugBank
levothyroxine,iron supplements,major,"Reduced levothyroxine absorption",Common
amoxicillin,probenecid,moderate,"Increased amoxicillin levels",DrugBank
ciprofloxacin,tizanidine,major,"Severe hypotension/sedation",DrugBank
paracetamol,alcohol,major,"Increased hepatotoxicity",Common
glimepiride,alcohol,major,"Severe hypoglycemia",Common
amlodipine,simvastatin,major,"Increased simvastatin exposure → myopathy",DrugBank
losartan,spironolactone,major,"Hyperkalemia risk",DrugBank
